Region,Year ,Month,Price
Westwood,2012,7,604500
Bel Air,2012,9,1118300
Boyle Heights,2012,9,194400
Central City,2012,9,199500
Century City,2012,9,727600
Crenshaw,2012,9,282300
Downtown,2012,9,406800
Eagle Rock,2012,9,439700
Echo Park,2012,9,431600
Harbor City,2012,9,221600
Highland Park,2012,9,363100
Hollywood,2012,9,429100
Hyde Park,2012,9,248600
Jefferson Park,2012,9,262500
Koreatown,2012,9,340300
Los Feliz,2012,9,703800
Mid City,2012,9,365000
Mid Wilshire,2012,9,493400
Palms,2012,9,484500
Pico-Union,2012,9,274600
Sawtelle,2012,9,516300
Silver Lake,2012,9,623700
Southeast Los Angeles,2012,9,179600
West Adams,2012,9,252600
Westwood,2012,9,614000
Bel Air,2012,11,1158600
Boyle Heights,2012,11,199200
Central City,2012,11,208000
Century City,2012,11,749800
Crenshaw,2012,11,292000
Downtown,2012,11,416000
Eagle Rock,2012,11,455000
Echo Park,2012,11,439900
Harbor City,2012,11,226100
Highland Park,2012,11,373400
Hollywood,2012,11,439100
Hyde Park,2012,11,257900
Jefferson Park,2012,11,269100
Koreatown,2012,11,352000
Los Feliz,2012,11,716700
Mid City,2012,11,382700
Mid Wilshire,2012,11,501400
Palms,2012,11,507000
Pico-Union,2012,11,298600
Sawtelle,2012,11,529700
Silver Lake,2012,11,629800
Southeast Los Angeles,2012,11,185800
West Adams,2012,11,260800
Westwood,2012,11,620600
Bel Air,2013,1,1206700
Boyle Heights,2013,1,199400
Central City,2013,1,213700
Century City,2013,1,771400
Crenshaw,2013,1,303600
Downtown,2013,1,449500
Eagle Rock,2013,1,468900
Echo Park,2013,1,458200
Harbor City,2013,1,223300
Highland Park,2013,1,389600
Hollywood,2013,1,452300
Hyde Park,2013,1,267900
Jefferson Park,2013,1,274800
Koreatown,2013,1,371700
Los Feliz,2013,1,730100
Mid City,2013,1,405300
Mid Wilshire,2013,1,516300
Palms,2013,1,514700
Pico-Union,2013,1,311800
Sawtelle,2013,1,546000
Silver Lake,2013,1,625100
Southeast Los Angeles,2013,1,193300
West Adams,2013,1,274800
Westwood,2013,1,640200
Bel Air,2013,3,1251600
Boyle Heights,2013,3,212100
Central City,2013,3,227600
Century City,2013,3,771500
Crenshaw,2013,3,314100
Downtown,2013,3,468200
Eagle Rock,2013,3,478900
Echo Park,2013,3,487800
Harbor City,2013,3,234600
Highland Park,2013,3,404600
Hollywood,2013,3,463900
Hyde Park,2013,3,272800
Jefferson Park,2013,3,287900
Koreatown,2013,3,396600
Los Feliz,2013,3,748400
Mid City,2013,3,422800
Mid Wilshire,2013,3,537300
Palms,2013,3,535800
Pico-Union,2013,3,330000
Sawtelle,2013,3,568900
Silver Lake,2013,3,636200
Southeast Los Angeles,2013,3,202000
West Adams,2013,3,287300
Westwood,2013,3,659000
Bel Air,2013,5,1340500
Boyle Heights,2013,5,230500
Central City,2013,5,235100
Century City,2013,5,778000
Crenshaw,2013,5,326500
Downtown,2013,5,503100
Eagle Rock,2013,5,496400
Echo Park,2013,5,518200
Harbor City,2013,5,249300
Highland Park,2013,5,427800
Hollywood,2013,5,479700
Hyde Park,2013,5,282600
Jefferson Park,2013,5,299500
Koreatown,2013,5,412000
Los Feliz,2013,5,763800
Mid City,2013,5,448300
Mid Wilshire,2013,5,561400
Palms,2013,5,571500
Pico-Union,2013,5,349600
Sawtelle,2013,5,593900
Silver Lake,2013,5,667500
Southeast Los Angeles,2013,5,208600
West Adams,2013,5,312600
